station,hour,day_type,crowd_level
Nagole,16,weekend,Low
Nagole,17,weekend,Low
Nagole,18,weekend,Medium
Nagole,19,weekend,High
Nagole,20,weekend,Low
Nagole,21,weekend,Low
Nagole,22,weekend,Low
Uppal,6,weekday,High
Uppal,7,weekday,Low
Uppal,8,weekday,Low
Uppal,9,weekday,Low
Uppal,10,weekday,Low
Uppal,12,weekday,Low
Uppal,13,weekday,Low
Uppal,14,weekday,Low
Uppal,15,weekday,Medium
Uppal,16,weekday,Medium
Uppal,17,weekday,Low
Uppal,18,weekday,Medium
Uppal,19,weekday,High
Uppal,20,weekday,Medium
Uppal,21,weekday,Low
Uppal,22,weekday,Medium
Uppal,6,weekend,Low
Uppal,7,weekend,Low
Uppal,8,weekend,Medium
Uppal,9,weekend,Medium
Uppal,11,weekend,Low
Uppal,13,weekend,Medium
Uppal,14,weekend,Medium
Uppal,15,weekend,Low
Uppal,17,weekend,Low
Uppal,18,weekend,Low
Uppal,19,weekend,High
Uppal,20,weekend,High
Uppal,21,weekend,Low
Uppal,22,weekend,Medium
Stadium,6,weekday,Medium
Stadium,7,weekday,High
Stadium,8,weekday,Medium
Stadium,9,weekday,Medium
Stadium,10,weekday,Medium
Stadium,11,weekday,Medium
Stadium,12,weekday,Medium
Stadium,13,weekday,Medium
Stadium,14,weekday,Low
Stadium,15,weekday,High
Stadium,16,weekday,Low
Stadium,18,weekday,Medium
Stadium,19,weekday,Medium
Stadium,20,weekday,Low
Stadium,21,weekday,High
Stadium,22,weekday,Medium
Stadium,6,weekend,Low
Stadium,7,weekend,Low
Stadium,8,weekend,High
Stadium,9,weekend,Low
Stadium,10,weekend,Low
Stadium,12,weekend,High
Stadium,13,weekend,Low
Stadium,15,weekend,Low
Stadium,16,weekend,Low
Stadium,17,weekend,High
Stadium,18,weekend,Low
Stadium,19,weekend,High
Stadium,21,weekend,Low
Stadium,22,weekend,Low
Raidurg,6,weekday,Medium
Raidurg,7,weekday,Low
Raidurg,8,weekday,Low
Raidurg,9,weekday,Low
Raidurg,10,weekday,Medium
Raidurg,11,weekday,Low
Raidurg,12,weekday,Low
Raidurg,13,weekday,Medium
Raidurg,14,weekday,Low
Raidurg,15,weekday,Low
Raidurg,16,weekday,High
Raidurg,18,weekday,Medium
Raidurg,19,weekday,Medium
Raidurg,20,weekday,Low
Raidurg,21,weekday,Medium
Raidurg,22,weekday,Medium
Raidurg,7,weekend,Medium
Raidurg,8,weekend,Low
Raidurg,9,weekend,Medium
Raidurg,10,weekend,Low
Raidurg,11,weekend,Low
Raidurg,12,weekend,Low
Raidurg,13,weekend,Medium
Raidurg,14,weekend,Medium
Raidurg,15,weekend,Medium
Raidurg,16,weekend,Medium
Raidurg,17,weekend,Medium
Raidurg,18,weekend,High
Raidurg,19,weekend,High
Raidurg,20,weekend,High
Raidurg,21,weekend,Low
Raidurg,22,weekend,Medium
JBS Parade Ground,6,weekday,Low
JBS Parade Ground,8,weekday,High
JBS Parade Ground,9,weekday,High
JBS Parade Ground,10,weekday,High
JBS Parade Ground,11,weekday,Medium
JBS Parade Ground,12,weekday,Low
JBS Parade Ground,13,weekday,Low
JBS Parade Ground,14,weekday,Low
JBS Parade Ground,15,weekday,Low
JBS Parade Ground,16,weekday,Medium
JBS Parade Ground,17,weekday,High
JBS Parade Ground,18,weekday,Low
JBS Parade Ground,19,weekday,Medium
JBS Parade Ground,20,weekday,High
JBS Parade Ground,21,weekday,High
JBS Parade Ground,22,weekday,Low
JBS Parade Ground,6,weekend,Low
JBS Parade Ground,7,weekend,Low
JBS Parade Ground,8,weekend,Low
JBS Parade Ground,9,weekend,Medium
JBS Parade Ground,10,weekend,Medium
JBS Parade Ground,13,weekend,Low
JBS Parade Ground,14,weekend,Low
JBS Parade Ground,16,weekend,High
JBS Parade Ground,17,weekend,High
JBS Parade Ground,18,weekend,High
JBS Parade Ground,19,weekend,Medium
JBS Parade Ground,20,weekend,High
JBS Parade Ground,21,weekend,Low
JBS Parade Ground,22,weekend,Low
MGBS,6,weekday,Low
MGBS,7,weekday,Low
MGBS,8,weekday,Low
MGBS,9,weekday,Medium
MGBS,10,weekday,Low
MGBS,11,weekday,High
MGBS,12,weekday,Medium
MGBS,13,weekday,Medium
MGBS,14,weekday,High
MGBS,15,weekday,Low
MGBS,17,weekday,Medium
MGBS,18,weekday,High
MGBS,19,weekday,High
MGBS,20,weekday,High
MGBS,22,weekday,Low
MGBS,8,weekend,High
MGBS,9,weekend,Medium
MGBS,10,weekend,Medium
MGBS,12,weekend,Medium
MGBS,13,weekend,Medium
MGBS,14,weekend,Medium
MGBS,15,weekend,Low
MGBS,17,weekend,Medium
MGBS,18,weekend,Low
MGBS,19,weekend,Medium
MGBS,20,weekend,High
MGBS,21,weekend,Low
MGBS,22,weekend,Low
